table_name,comments
WELL_DRILL_MUD_ADDITIVE,WELL DRILL PERIOD MUD ADDITIVE:  This table is used to capture a list of all the additives in the well mud during a reporting period or tour of operations.  For underbalanced drilling
WELL_DRILL_INT_DETAIL,WELL DRILL BIT INTERVAL DETAIL:  use this table to capture additional details about the interval in which a drill bit was used.  Any kind of detail is supportable
WELL_DRILL_EQUIPMENT,WELL DRILL PERIOD EQUIPMENT:  This table is used to track how and where specific pieces of equipment are used
WELL_DRILL_CHECK_TYPE,WELL DRILL CHECK TYPE: The type of check that is conducted
WELL_DRILL_CHECK_SET,WELL DRILL CHECK SET:  Use this table to define sets of drill checks that may be mandated by an operator company
WELL_DRILL_CHECK,WELL DRILL CHECK:The daily checks refer to required or recommended rig inspections that are to be conducted by both the Operator and Contractor representatives
WELL_DRILL_BIT_PERIOD,WELL DRILL BIT PERIOD:  This table may be used to describe characteristics of the use of a drill bit during a specified reporting period.  Metrics that are stored are used to help calculate statistics and for regulatory reporting.  Some of these figures are used to calculate values in WELL DRILL BIT INTERVAL.
WELL_DRILL_BIT_JET,WELL DRILL BIT JET:  The table is used to describe each jet on a drill bit.  In some cases
WELL_DRILL_BIT_INTERVAL,WELL DRILLING BIT INTERVAL: The Drilling Bit table describes the physical characteristics of the drill bit and the operating conditions while using the bit during a drilling operation.Describes information about the bit as reported during a run
WELL_DRILL_BIT_CONDITION,WELL DRILL BIT CONDITION:  The table is used to track the condition of the well drill bit as it is evaluated over time.  This information is used to decide what kinds of bits to use and to determine preformance statistics on bit types
WELL_DRILL_ASSEMBLY_PER,WELL DRILLING ASSEMBLY:  a table that identifies a well drilling assembly used on a rig for a part of a reporting period or tour
WELL_DRILL_ASSEMBLY_COMP,WELL DRILLING ASSEMBLY COMPONENT:  Use this table to keep track of the component parts of a well drillilng assembly
WELL_DRILL_ASSEMBLY,WELL DRILLING ASSEMBLY:  a table that identifies a well drilling assembly used on a rig for a part of a reporting period or tour
WELL_DRILL_ADD_INV,WELL DRILL PERIOD ADDITIVE INVENTORY:  This table is used to capture the inventoried amounts of each kind of additive at a specified point in a well drill period (usually shift
WELL_DIR_SURVEY_GEOMETRY,WELL DIRECTIONAL SURVEY GEOMETRY:  This table provides a method for spatially enablling well directional survey descriptions through association with appropriate geometries in a spatial engine such as SDE.
WELL_DIR_SRVY_STATION,WELL DIRECTIONAL SURVEY STATION: The Well Directional Survey table records the individual directional survey points along the wellbore during a downhole survey. The measurements at the survey points record the inclination from the verticalaxis that the wellbore trends and the clockwise departure of the survey point from the north reference used in the directional survey. This table allows for multiple survey points or stations.
WELL_DIR_SRVY,WELL DIRECTIONAL SURVEY: The Well Directional Survey table  contains header information about directional surveys which havebeen performed on a wellbore. This downhole survey charts thedegree of departure of the wellbore from vertical and  the direction  of departure.  Since many directional surveys can be conducted ona wellbore
WELL_CORE_STRAT_UNIT,WELL CORE FORMATION: The Well Core Formation table uniquely identifies the formation or stratigraphic unit present in the core. This table also identifies specific formations when a core has overlapped more than one formation.
WELL_CORE_SHIFT,WELL CORE SHIFT: The Well Core Shift table contains information needed to correct core measured depths to adjusted wireline log depths. The depth adjustment may be made for the entire core segment or individual intervals within the gross s  egment.
WELL_CORE_SAMPLE_RMK,WELL CORE SAMPLE REMARK: The Well Core Sample Remark table contains narrative comments about the sample taken from a core which has been analyzed.
WELL_CORE_SAMPLE_DESC,WELL CORE SAMPLE DESCRIPTION: The Well Core Sample Description table contains details about specific descriptions of a sample taken from a core which has been analyzed.  Information pertains to such data as a hydrocarbon show
WELL_CORE_SAMPLE_ANAL,WELL CORE SAMPLE ANALYSIS: The Well Core Sample Analysis table contains information pertaining to the methods used for measuring porosity
WELL_CORE_REMARK,WELL CORE REMARK: The Well Core Remark table contains narrative remarks pertaining to a core.  Comments could include a narrative describing the conventional and/or sidewall coring operations.
WELL_CORE_DESCRIPTION,WELL CORE DESCRIPTION: The Well Core Description table contains textual lithological description and hydrocarbon shows that may appear in a core by geologic examination or chemical analysis.
WELL_CORE_ANAL_REMARK,WELL CORE ANALYSIS REMARK: The Well Core Analysis Remark table contains additional narrative remarks pertaining to the type of techniques used for core analysis.
WELL_CORE_ANAL_METHOD,WELL CORE ANALYSIS METHOD: The Well Core Analysis Method table contains information pertaining to the methods used during a core analysis. For example
WELL_CORE_ANALYSIS,WELL CORE ANALYSIS: The Well Core Analysis table describes the type of sample analytical data collected. Information contained in this table contains information such as sample shape
WELL_CORE,WELL CORE: The Well Core table contains descriptive information concerning a coring operation. Data contained in this table identifies the core type
WELL_COMPONENT,WELL COMPONENT: This table is used to capture the relationships between wells and busines objects
WELL_COMPLETION,WELL COMPLETION: The Well Completion table identifies the completion interval in the wellbore. Since
WELL_CEMENT,WELL CEMENT: A table to describe the cementing operations performed on a well
WELL_BA_SERVICE,WELL BUSINESS ASSOCIATE SERVICE:  use this table to keep track of services that are performed for the well
SEIS_LINE,SEISMIC LINE A valid set of shot and receiver locations acquiredtogether and which are initially intended to be processed together.
SEIS_LICENSE_VIOLATION,SEISMIC LICENSE VIOLATION:  Use this table to track incidents where the terms of a license have been violated (or perhaps are claimed to be violated).  At this time the table is relatively simple in content.
SEIS_LICENSE_TYPE,SEISMIC LICENSE TYPE:  The type of geophysical license that has been granted.  In some jurisdicitons a single license may be granted to cover all operations
SEIS_LICENSE_STATUS,SEISMIC  LICENSE STATUS:  Tracks the status of a license throughout its lifetime.  Various types of status may be included at the discretion of the implementor.
SEIS_LICENSE_REMARK,SEISMIC LICENSE REMARK:  a text description to record general comments on the  license tracking when remark was made
SEIS_LICENSE_COND,SEISMIC LICENSE CONDITION:  A list of conditions  that are applied to a seismic or geophysical license.  Could include stipulations about disposal
SEIS_LICENSE_AREA,SEISMIC LICENSE AREA:  this table tracks the areas into which a seismic license falls.
SEIS_LICENSE_ALIAS,SEISMIC LICENSE  NAME ALIAS: The  Name Alias table stores multiple alias names for a given license.
SEIS_LICENSE,SEISMIC LICENSE:  An approval or authorization to conduct operations related to geophysical or seismic data
SEIS_INTERP_SURFACE,INTERPRETED SURFACE:  the surface which has been interpreted.
SEIS_INTERP_SET,SEISMIC INTERPRETED SET:  A set of seismic data that has been grouped for interpretation.
SEIS_INTERP_LOAD_PARM,SEISMIC INTERPRETATION LOAD PARAMETER:  Describes the parameters applied during each step of the load process into an interpretation system.
SEIS_INTERP_LOAD,SEISMIC INTERPRETATION LOAD:  technical data modifications
SEIS_INTERP_COMP,SEIS SET INTERPRETATION COMPONENT:  which objects were part of the inspection.  Note that in some cases
SEIS_INSP_COMPONENT,SEISMIC INSPECTION COMPONENET:  Use this table to list the sections
SEIS_INSPECTION,SEISMIC SET INSEPCTION:  This table may be used to track quality inspections on data sale offerings.
SEIS_GROUP_COMP,SEISMIC GROUP COMPONENT;  This table describes the grouping of seismic sets into other sets.  Examples include acquisition data grouped into a  processing set
SEIS_CHANNEL,SEISMIC CHANNEL:  Information describing the recorded results on a single channel of a seismic record.  This level of detail should be captured only when there is a business driver to do so; large table sizes should be expected.  Some implementors may wish to only capture details about anomylous records in this way.
SEIS_BIN_POINT_VERSION,SEISMIC BIN  POINT VERSION:  alternate location information for a surface or subsurface point associated with a seismic  segment.  May be a shot
SEIS_BIN_POINT_TRACE,SEIS BIN POINT TRACE : information about the traces associated with points in a bin grid.
SEIS_BIN_POINT,SEIS BIN POINT: information about the points in a bin grid.  The coordinate system used is inferred to be the same as defined in SEIS BIN GRID. This entity may be only used where bin grids are irregular
SEIS_BIN_OUTLINE,SEIS BIN OUTLINE: This table may be used to capture outlines for bin grids that are referenced to the  inline and cross line coordinates.  If geographic latitude and longitude values are captured
SEIS_BIN_ORIGIN,SEISMIC BIN ORIGIN:  Where all or part of a previously created set of bins is used as input into a new bin grid
SEIS_BIN_GRID,SEIS BIN GRID: a theoretically defined matrix used to group data  points
SEIS_BA_SERVICE,SEISMIC BUSINESS ASSOCIATE SERVICE:  this table can be used to track  the business associates with whom you do business for seismic data.At present
SEIS_ALIAS,SEISMIC SET ALIAS:  Alternate name for the seismic set.
SEIS_ACTIVITY,SEISMIC SET ACTIVITY:  Use this table to track activities on a seismic set over its life time
SEIS_ACQTN_SURVEY,SEISMIC ACQUISITION SURVEY:  a group of lines created for thepurpose of seismic data acquisition
SEIS_ACQTN_SPECTRUM,SEISMIC ACQISITION SPECTRUM:  this table is used to list all the additional  data types that are acquired during this recording.  Can include gravity
SEIS_ACQTN_DESIGN,SEISMIC ACQUISITION DESIGN:  Stores field parmeters used during  field acquisition for a seismic segment or group of segments.
SEIS_3D,SEISMIC THREE DIMENSIONAL DATA:  A three dimensional set of data.  The data set may be the entire set as originally acquired
SAMPLE_WATER_ANAL_DTL,WATER ANALYSIS DETAIL: The Water Analysis Detail table contains detailed information about the composition and physical properties of a water sample being analyzed. Properties may consist of a concentration of dissolved solids su  ch as Sodium (Na)
SAMPLE_WATER_ANALYSIS,SAMPLE WATER ANALYSIS: The Water Analysis table contains information identifying the location and type of water sample obtained
SAMPLE_OIL_VISCOSITY,SAMPLE  OIL VISCOSITY: Well Oil Viscosity table contains information pertaining to the viscosity (the property of a substance to offer internal resistance to flow) of an oil sample obtained for an oil analysis.
SAMPLE_OIL_ANAL_DETAIL,SAMPLE OIL ANALYSIS DETAIL: The Analysis Detail table contains the results of an analysis for the composition of an oil sample.
SAMPLE_OIL_ANALYSIS,SAMPLE ANALYSIS OIL ANALYSIS: Well Oil Analysis table contains information identifying the location and results of an oil sample obtained to determine the hydrocarbon composition of an oil analysis.
R_TITLE_OWN_TYPE,R TITLE OWNERSHIP TYPE:  used to refer to type of ownership for titlesonly.  May be lifeestate holder
R_TIMEZONE,R TIMEZONE:  a valid list of time zones.  You can obtain a list of timezones from www.worldtimezone.com.
R_TEST_SUBTYPE,REFERENCE WELL TEST SUBTYPE: This reference tables provides a detailed description of the specific type of well test which is performed on the well.  For example casing packer
R_TEST_SHUTOFF_TYPE,SHUTOFF TYPE: Code identifying the type of shutoff used in the wellbore (e.g.
R_TEST_RESULT,REFERENCE TEST RESULT:  This reference table describes
R_TEST_RECOV_METHOD,REFERENCE TEST RECOVERY METHOD: This reference tables describes method by which fluid was recovered for a well test. For example pipe or chamber.
R_TEST_PERIOD_TYPE,REFERENCE  TEST PERIOD TYPE: This reference table describes a well test time pressure period type.  For example hydrostatic
R_TEST_EQUIPMENT,REFERENCE TEST EQUIPMENT:  This reference table describes specific types of equipment used for well testing.  For example casing packer
R_TAX_CREDIT_CODE,REFERENCE TAX CREDIT CODE:  Code indicating the well  qualifies for a tax credit. C = credit for the well being permitted  for coalbed methane gas.
R_SW_APPLICATION,R SOFTWARE APPLICATION:  the name of a software application
R_SUBSTANCE_COMP_TYPE,SUBSTANCE COMPONENT TYPE:  the type of relationship between the substance and its composite parts.  For example
R_STREAMER_POSITION,STREAMER POSITION:  The position of the streamer in the array
R_STREAMER_COMP,REFERENCE STREAMER COMPONENT TYPE:  The type of streamer component
R_STRAT_UNIT_TYPE,REFERENCE STRATIGRAPHIC UNIT TYPE:  The type of stratigraphic unit
R_STRAT_UNIT_QUALIFIER,REFERENCE  STRAT UNIT QUALIFIER:  A qualifier that describes where on a stratigraphic unit an event is described
R_STRAT_UNIT_DESC,REFERENCE STRATIGRAPHIC UNIT DESCRIPTION:  any descriptive  charateristic of the stratigraphic unit
R_STRAT_UNIT_COMP_TYPE,STRATIGRAPHIC UNIT COMPONENT TYPE: The type of component associated with a stratigraphical unit
R_STRAT_TYPE,REFERENCE STRATIGRAPHY TYPE:  The category of stratigraphy that the  STRAT UNIT is described within
R_STRAT_TOPO_RELATION,REFERENCE STRATIGRAPHIC TOPOLOGICAL RELATIONSHIP TYPE:  The type of  topological relationship between two stratigraphic units
R_STRAT_STATUS,REFERENCE STRATIGRAPHIC STATUS TYPE:  the status of the stratigraphic  unit
R_STRAT_OCCURRENCE_TYPE,STRATIGRAPHIC OCCURRENCE TYPE:  Indicates how a strat unit occurs relative to another strat unit.  Examples may be contained
R_STRAT_NAME_SET_TYPE,REFERENCE STRATIGRAPHIC NAME SET TYPE:  the type of name set
R_STRAT_INTERP_METHOD,REFERENCE STRATIGRAPHIC INTERPRETATION METHOD:  Interpretation  method  - surface sample
R_STRAT_HIERARCHY,STRATIGRAPHIC HIERARCHY TYPE:  The type of  hierarchy that  is defined
R_STRAT_FLD_NODE_LOC,REFERENCE STRATIGRAPHIC FIELD STATION NODE LOCATION TYPE:  the type of  location for a field station node.  Locations may exist across the  surface of a field station or vertically
R_STRAT_EQUIV_TYPE,REFERENCE STRATIGRAPHIC EQUIVALENCE TYPE:  the type of relationship  between two units
R_STRAT_EQUIV_DIRECT,REFERENCE STRATIGRAPHIC EQUIVALENCE DIRECTIONALITY:  the direction in  which the equivalence is valid
R_STRAT_DESC_TYPE,REFERENCE STRATIGRAPHIC DESCRIPTION TYPE:  the type of descriptive  information included
R_STRAT_CORR_TYPE,REFERENCE STRATIGRAPHIC CORRELATION TYPE:  the type of stratigraphic  correlation
R_STRAT_CORR_CRITERIA,REFERENCE STRATIGRAPHIC CORRELATION CRITERIA:  the basis or context  within which the correlation was made
R_STRAT_COL_XREF_TYPE,STRATIGRAPHIC COLUMN CROSS REFERENCE TYPE:  The reason why the stratigraphic columns have been cross refernced.  A new column may replace on outdated version
R_STRAT_COLUMN_TYPE,REFERENCE STRATIGRAPHIC COLUMN TYPE:  The type of stratigraphic  column
R_STRAT_ALIAS_TYPE,REFERENCE STRATIGRAPHIC ALIAS TYPE:  The type of stratigraphic alias
R_STRAT_AGE_METHOD,REFERENCE STRATIGRAPHIC AGE METHOD:  The method used to determine the age of this stratigraphic unit
R_STRAT_ACQTN_METHOD,REFERENCE STRATIGRAPHIC ACQUISITION METHOD:  the method that was used  to arrive at the stratigraphic analysis of data.  May include  Biostratigraphy
R_STORE_STATUS,PHYSICAL STORE STATUS:  The current status of this physical data store
R_STATUS_GROUP,REFERENCE STATUS GROUP: This reference table groups status codes together. For example status of oil producer
R_SP_ZONE_TYPE,REFERENCE ZONE TYPE:  The type of mineral zone definiton
R_SP_ZONE_DERIV,REFERENCE ZONE DERIVATION METHOD: Type of log on which the  definition is based
R_SP_ZONE_DEFIN__XREF,REFERENCE SPATIAL ZONE DEFINITION CROSS REFERENCE REASON:  Describes the reason why spatial zone definitions have been cross referenced.  The most common (but not the only) reason is a replacement of a zone definition with a new one by a regulatory agency.
R_SP_POINT_VERSION_TYPE,REFERENCE SPATIAL POINT VERSTION TYPE:  The type of version that this location version describes.  Could be an original location
R_SPATIAL_XREF_TYPE,SPATIAL CROSS REFERENCE TYPE:  the reason why the spatial descriptions are related.  Could be a spatial overlap
R_SPATIAL_DESC_TYPE,LAND LEGAL DESCRIPTION TYPE:  The type of land legal description.  May be for a land right
R_SPATIAL_DESC_COMP_TYPE,SPATIAL DESCRIPTION COMPONENT TYPE: The type of component associated with a spatial description
R_SPACING_UNIT_TYPE,REFERENCE SPACING UNIT TYPE:  the type of spacing unit.  May include  drilling
R_SOURCE_ORIGIN,REFERENCE SOURCE ORIGIN:  This table identifies the projects
R_SOURCE,REFERENCE SOURCE: A reference table identifying the individual
R_SHUTIN_PRESS_TYPE,REFERENCE SHUTIN PRESSURE TYPE: This reference table defines the type of shutin pressure being measured. For example
R_SHOW_TYPE,REFERENCE SHOW TYPE: This table identifies the appearance of the hydrocarbons in the object being evaluated. For example
R_RECORDER_POSITION,REFERENCE TEST RECORDER POSITION:  This reference table describes position of a test recorder or gauge relative to the test tool components.  For example below or above straddle.
R_RATIO_FLUID_TYPE,REFERENCE RATIO FLUID TYPE:  A reference table identifying the type  of ratio fluid  that is used in decline curve forecast calculations  for GOR
R_RATIO_CURVE_TYPE,REFERENCE RATIO CURVE TYPE:  A reference table identifying the type  of ratio curve that is used in decline curve forecast calculations  such as linear
R_RATE_TYPE,R RATE TYPE:  the type of rate charged in this schedule.  Examples may include posting fees
R_RATE_SCHED_XREF,RATE SCHEDULE CROSS REFERENCE TYPE:  the reason why the rate schedules have been cross referenced.  A new schedule may replace an older one
R_RATE_SCHEDULE_COMP_TYPE,RATE SCHEDULE COMPONENT TYPE: The type of component associated with a rate schedule
R_RATE_SCHEDULE,REFERENCE RATE SCHEDULE TYPE:  the type of schedule
R_RATE_CONDITION,REFERENCE RATE CONDITION:  A list of conditions that are applied to a rate schedule.  For example a road access rate may only apply when a well is in production or during drilling operations.
R_QUALITY,REFERENCE QUALITY: A reference table describing standard quality indicators.  For example poor
R_QUALIFIER_TYPE,QUALIFIER TYPE:  the type of qualifier
R_PUBLICATION_NAME,REFERENCE PUBLICATION NAME:  the name of the  publication that was ref  erenced
R_PROPPANT_TYPE,REFERENCE PROPPANT AGENT TYPE: This reference table identifies the type of proppant used in the hydraulic fracture treatment fluid. For example
R_PROJ_STEP_XREF_TYPE,REFERENCE PROJECT STEP CROSS REFERENCE REASON:  describes relationships between steps in a project.  May define necessary precursors
R_PROJ_STEP_TYPE,PROJECT STEP TYPE:  The type of step for the project.
R_PROJECT_TYPE,REFERENCE PROJECT TYPE:  the type of project
R_PROJECT_STATUS_TYPE,PROJECT or PROJECT STEP STATUS TYPE:  The type of status
R_PROJECT_STATUS,PROJECT or PROJECT STEP STATUS:  the status of a project or a step in a project.  May include underway
R_PROJECT_EQUIP_ROLE,REFERENCE PROJECT EQUIPMENT ROLE:  the role played by a piece of equipment in a project
R_PROJECT_CONDITION,REFERENCE PROJECT CONDITION:  This table lists the type of condition(s) that must exist before the project or step can be started.  May be an external condition (a facility to be shut down) or another step in the project that must be completed.
R_PROJECT_COMP_TYPE,PROJECT COMPONENT TYPE:  the reason the component is associated with the project
R_PROJECT_COMP_REASON,REFERENCE PROJECT COPMPONENT REASON:  the reason why business objects or other entities are related to this project.  This may occur when one project  is part of another project
R_PROJECT_BA_ROLE,REFERENCE PROJECT BUSINESS ASSOCIATE ROLE:  the role of the business  associate in the project
R_PROJECT_ALIAS_TYPE,PROJECT ALIAS TYPE:  The type of project alias that has been assigned.  Could be the code assigned by an application or user
R_PROJECTION_TYPE,REFERENCE PROJECTION TYPE: A reference table identifying valid classifications of projections used by individual map projections.  For example
R_PROD_STR_FM_STAT_TYPE,REFERENCE PRODUCTION STRING FORMATION STATUS TYPE:  The type of status reported at the production string formation
R_PROD_STR_FM_STATUS,REFERENCE PRODUCTION STRING FORMATION STATUS:  A list of valid status types for a production string formation
SAMPLE_GAS_ANAL_DETAIL,WELL GAS ANALYSIS DETAIL: The Well Gas Analysis Detail table contains the results of an analysis for the hydrocarbon composition of a normal gas sample
SAMPLE_GAS_ANALYSIS,SAMPLE GAS ANALYSIS: The Well Gas Analysis table contains information identifying the location in a wellbore where a normal gas sample was obtained to determine the hydrocarbon composition from an gas analysis.
SAMPLE_ANAL_COMPONENT,SAMPLE ANALYSIS COMPONENT: use this table to keep track of the various business objects that a sample analysis may be associated with.  For example
SAMPLE_ANALYSIS,SAMPLE ANALYSIS:  Use this table to keep track of the details about an analysis proejct
R_WO_XREF_TYPE,WORK ORDER CROSS REFERENCE TYPE:  the type of relationships between work orders.  These relationships may be historical (work order replaces another)
R_WO_TYPE,WORK ORDER TYPE:  the type of work order
R_WO_INSTRUCTION,WORK ORDER INSTRUCTION:  A list of coded values for specific instructions associated with work orders.  May be used in conjunction with description fields as appropriate.
R_WO_DELIVERY_TYPE,WORK ORDER DELIVERY TYPE:  The type of delivery
R_WO_CONDITION,WORK ORDER CONDITION:  Lists the pre-conditions that must exist in order for this work order to be completed or filled.  Can indicate a need for approval
R_WO_COMPONENT_TYPE,WORK ORDER COMPONENT TYPE:  The type of component that has been associated with the work order
R_WO_BA_ROLE,WORK ORDER BUSINESS ASSOCIATE ROLE:  A list of valid roles played by business associates with respect to carrying out instructions for a work order.  Roles include shipping address
R_WORK_BID_TYPE,LAND WORK BID TYPE:  The type of bid component that is part of a work bid.  Examples may include drilling
R_WIND_STRENGTH,REFERENCE WIND STRENGTH:  The strength of the wind
R_WELL_ZONE_INT_VALUE,WELL ZONE INTERVAL VALUE TYPE:  The type of value that is associated with this well zone interval.  Note that where possible
R_WELL_XREF_TYPE,REFERENCE WELL CROSS REFERENCE TYPE:  The type of cross reference between two wells.  This may include relationships between well and well bore (also handled more simply by PARENT UWI) or planned and actual wells.  Functional relationships may also be captured if desired.
R_WELL_TEST_TYPE,REFERENCE WELL TEST TYPE: This reference table identifies the general type of test used to evaluate the potential of the well. For example
R_WELL_STATUS_TYPE,REFERENCE WELL STATUS TYPE:  The type of status reported for the well.  Can include construction status
R_WELL_STATUS,REFERENCE WELL STATUS: This reference table defines the status of the well.
R_WELL_SF_USE_TYPE,REFERENCE  WELL SUPPORT FACILITY USE TYPE:  The type of use that a support facility is put to for a particular well
R_WELL_SERV_METRIC_CODE,WELL SERVICE METRIC CODE:  Validated text that represents the value for a metric
R_WELL_SERVICE_METRIC,REFERENCE WELL SERVICE METRIC:  Describes the types of metrics that are captured for each service provided on a well
R_WELL_RELATIONSHIP,REFERENCE WELL RELATIONSHIP: A reference table describing the type of relationship a well/wellbore may have with a parent well/wellbore. For example sidetracked
R_WELL_REF_VALUE_TYPE,REFERENCE WELL MISC DATA REFERENCE VALUE TYPE:  In the case where a measured value must be referenced to another value (such as time
R_WELL_QUALIFIC_TYPE,R WELL QUALIFICATION TYPE:defines the type of method used to  determine  that the well is capable of producing in paying quantities.test
R_WELL_PROFILE_TYPE,REFERENCE WELLBORE SHAPE: A reference table describing a type of wellbore shape.  For example vertical
R_WELL_NODE_PICK_METHOD,REFERENCE WELL NODE STRAT UNIT PICK METHOD:  The method used to pick the distance from a well node to the top and base of a stratigraphic unit.  Could be logs
R_WELL_LOG_CLASS,REFERENCE WELL LOG CLASS:  This table lists the classes of well log files that may be created.
R_WELL_LIC_VIOL_TYPE,REFERENCE VIOLATION TYPE:  The type of violation of a license that is being recorded.  Can be as simple as failure to submit necessary reports or something more difficult such as improper procedures.
R_WELL_LIC_VIOL_RESOL,REFERENCE LICENSE VIOLATION RESOLUTION TYPE:  The type of resolution to a violation of a license term
R_WELL_LIC_DUE_CONDITION,DUE CONDITION:  The state that must be achieved for the condition to become effective.  For example
R_WELL_LIC_COND_CODE,WELL LICENSE CONDITION CODE  Codified values assigned to a well license condition.  Can include any type of condition with the exception of values related to STRAT UNITS (explicit)
R_WELL_LIC_COND,WELL LICENSE CONDITION TYPE:  the type of condition applied to the well license
R_WELL_LEVEL_TYPE,REFERENCE WELL LEVEL TYPE: Indicates whether an entry in the WELL table represents a WELL
R_WELL_FACILITY_USE_TYPE,REFERENCE  WELL FACILITY USE TYPE:  The type of use that a facility is put to for a particular well
R_WELL_DRILL_OP_TYPE,REFERENCE  WELL DRILLING OPERATIONS TYPE:  The type of drilling operation that the bit is doing
R_WELL_DOWNTIME_TYPE,REFERENCE WELL DOWNTIME TYPE:The type of downtime experienced during a well operation or event.  Downtime types may include downtime
R_WELL_DATUM_TYPE,REFERENCE WELL DATUM TYPE: A reference table identifying the type of point or horizontal surface used as an elevation reference for measurements in a well.  Examples: kelly bushing
R_WELL_COMPONENT_TYPE,WELL COMPONENT TYPE: The type of component associated with a well
R_WELL_CLASS,REFERENCE WELL CLASS:  This reference table describes the classification of a well.  This may include
R_WELL_CIRC_PRESS_TYPE,REFERENCE  WELL PRESSURE CIRCULATION TYPE:Indicates whether one or both pumps were on the hole
R_WELL_ALIAS_LOCATION,REFERENCE WELL ALIAS LOCATION TYPE:  The position on the wellbore that this alias is assigned to.  Common types are top hole and bottom hole.
R_WELL_ACT_TYPE_EQUIV,REFERENCE WELL ACTIVITY TYPE EQUIVALENCE:  This value can be used to qualify the equivalence measure
R_WELL_ACTIVITY_COMP_TYPE,WELL ACTIVITY COMPONENT TYPE: The type of component associated with a well activity
R_WELL_ACTIVITY_CAUSE,CAUSE TYPE:  The type of cause that resulted in a change to the activity in the well.  Ofen
R_WEATHER_CONDITION,REFERENCE WEATHER CONDITION TYPE:  a table listing valid kinds of weather conditions such as sunny and calm
R_WATER_TYPE,REFERENCE WATER TYPE: This reference table identifies the type of water being analyzed. For example
R_WATER_DATUM,REFERENCE WATER DATUM:  Reference datum to which the water depth  is referenced
R_WATER_CONDITION,REFERENCE WATER CONDITION TYPE:  A list of valid conditions of a large water body
R_WATER_BOTTOM_ZONE,REFERENCE WATER BOTTOM ZONE: A reference table identifying valid water bottom zones.  This code is retained in Louisiana as special allowable area or zone.
R_WASTE_ORIGIN,WASTE ORIGIN TYPE:  The type of location that this waste originated from
R_WASTE_MATERIAL,WASTE MATERIAL:  The material that has been shipped as waste
R_WASTE_HAZARD_TYPE,WASTE HAZARD:  The hazardous nature of the material
R_WASTE_HANDLING,WASTE HANDLING METHOD:  The method used to handle disposal of the waste material
R_WASTE_FACILITY_TYPE,WASTE FACILITY TYPE:  The type of waste handling facility
R_WASTE_ADJUST_REASON,WASTE ADJUSTMENT REASON:  The reason for an adjustemnet between the shipped and received volume
R_VSP_TYPE,REFERENCE VERTICAL SEISMIC PROFILE TYPE: A reference table identifying valid types of VSP. For example
R_VOLUME_METHOD,REFERENCE VOLUME METHOD:  A reference table identifying the type of method used to determine the volume of fluids moved.  Examples would bemeasured
R_VESSEL_REFERENCE,REFERENCE POINT:  The point to which the offsets are referenced.  In many cases
R_VERTICAL_DATUM_TYPE,REFERENCE VERTICAL DATUM TYPE: A reference table identifying valid types of Vertical Datums.  For example
R_VELOCITY_TYPE,REFERENCE VELOCITY TYPE: A reference table identifying the valid types of seismic velocity. Horizontal velocities and vertical velocites are typical types.
R_VELOCITY_DIMENSION,REFERENCE VELOCITY DIMENSION:  The dimensions of the velocites that have been collected; usually point or interval velocities.
R_VELOCITY_COMPUTE,REFERENCE VELOCITY COMPUTATION METHOD: A reference table identifying methods for computing seismic velocity.  For example
R_TVD_METHOD,REFERENCE TVD METHOD: This reference table defines the method used to determine the true vertical depth.
R_TUBING_TYPE,REFERENCE TUBING TYPE:  This reference table describes the particular type of tubular or type.  For example tubing
R_TUBING_GRADE,TUBING GRADE:  the tensile strength of the tubing material.  A system of classifying the material specifications for steel alloys used in the manufacture of tubing.
R_TREATMENT_TYPE,REFERNCE WELL TREATMENT TYPE: This reference table identifies the type of treatment job performed on the well. For example
R_TREATMENT_FLUID,REFERENCE TREATMENT FLUID: A reference table identifying the type of treating fluid used in the treatment operation of the well. For example
R_TRANS_TYPE,SEISMIC TRANSACTION TYPE:  The type of seismc transaction that has been arranged
R_TRANS_STATUS,TRANSACTION STATUS:  The status of this transaction
R_TRANS_COMP_TYPE,TRANSACTION COMPONENT TYPE:  the type of component that is associated with this transaction.  Could be a seismic set that was sold
R_TRACE_HEADER_WORD,TRACE HEADER WORD:list of allowed trace header words for seismc trace data.
R_TRACE_HEADER_FORMAT,HEADER FORMAT:  the header format used by the trace data
R_TOUR_OCCURRENCE_TYPE,REFERENCE TOUR OCCURENCE TYPE:  This reference table identifies a type of well activity that can be described as a well tour occurence.  For example blowout or lost circulation.
R_SF_COMPONENT_TYPE,SUPPORT FACILITY COMPONENT TYPE: The type of component associated with a support facility
R_SF_BRIDGE_TYPE,REFERENCE SUPPORT FACILITY BRIDGE TYPE:  A valid type of bride
R_SF_AIRSTRIP_TYPE,REFERENCE SUPPORT FACILITY AIRSTRIP TYPE:  A list of valid types of airstrips.
R_SEVERITY,REFERENCE SEVERITY: A vaild list of severity types used for a qualifier of lost circulation or water flow into the wellbore. For example minor or severe.
R_SERVICE_QUALITY,R SERVICE QUALITY:  The quality of service provided by this BUSINESS  ASSOCIATE
R_SEND_METHOD,REFERENCE SEND METHOD:  The method used to send an object from a sender to a receiver.  Could be by registered mail
R_SEIS_TRANS_COMP_TYPE,SEISMIC TRANSACTION COMPONENT TYPE: The type of component associated with a seismic transaction
R_SEIS_SWEEP_TYPE,SWEEP TYPE: May be linear
